region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000016,Lonetrek,483356197400297.8,506575251630.0305,483989690057049.1,504193580921.3159,574159912422.0,1764400488451.62,9319997979736.021,17040885421957.334,1081032286786.5956,143715633.0,2037270660.0
10000018,The Spire,14816212441428.69,10628287982.4388,14307529810234.334,10635257432.7507,588650188329.0,173662517089.64,246703533233.8395,7696444141.610001,336417100809.055,30029229.0,0.0
10000020,Tash-Murkon,99049837397781.66,90483394810.8161,90580814814649.34,90411961049.6545,126546820460.0,186351025792.23,798979675870.9236,2599068437950.72,461669912766.0379,46030061.0,79362595.0
10000021,Outer Passage,5491519207721.8,4011167345.3067,4579316567839.462,3956524306.0896997,262472826743.0,87291192089.14,148187643366.9681,0.0,295514412681.723,60847929.0,0.0
10000022,Stain,11002741938206.324,8577147972.1137,9819887694131.672,8619577503.5812,233028091050.0,347754730101.39,852495453244.9277,129171296793.40001,77979716372.22685,32450505.0,408169714.0
10000023,Pure Blind,240208988326944.97,384569837705.5371,187916890454713.03,352047560818.7335,1181288848718.0,2850135777797.9,2256689859581.66,441715109867.5401,250355803458.45532,45708150.0,221832922.0
10000025,Immensea,11327891010511.885,11941041374.7461,25654743446660.668,14368166464.929,399857520564.0,410088216752.99,107237728126.4301,141815674784.85,109835340655.81743,20827793.0,0.0
10000027,Etherium Reach,63476806517609.84,54759201672.7881,67113814640474.11,51284190860.0065,601581941040.0,255904286054.86,1301985792334.3447,224224283767.02,574045161544.653,138803484.0,0.0
10000028,Molden Heath,55522254209049.28,49531746638.469795,50074911000983.73,48703717441.6139,85770130191.0,407941562105.18,598767083418.2961,1310444655668.0798,351365545990.0881,21786005.0,291178900.0
10000029,Geminate,63917007356699.19,50574119640.9366,62798450385486.24,50886054405.492096,1412590852910.0,475069137130.91,495888100714.12,81493151421.78001,172317013665.41513,39410724.0,0.0
10000030,Heimatar,281600618719935.4,336436856576.28064,278474640662734.97,336339982175.66113,168152637733.0,1163295356441.58,8817951015665.725,8827899779033.19,449760887757.53076,81874482.0,188801416.0
10000031,Impass,2618599642897.317,1788170853.0189998,2416743197947.487,1761445244.2995,484311610010.0,60219762532.88,24420012124.4142,2655430514.74,40512151136.79281,14091992.0,0.0
10000032,Sinq Laison,354071041539465.5,389044567629.5423,327179970805886.94,389013386798.2112,266618552333.0,1381226849956.46,4484265810490.399,14607223918576.982,830744404367.5781,175470472.0,211251852.0
10000033,The Citadel,555877196125658.94,660407767650.2764,544187683586589.06,659680889165.2058,329326843595.0,1450282313430.74,11201419942598.855,4247253560696.4,692971168906.0908,220292054.0,149851708.0
10000034,The Kalevala Expanse,155113604222114.28,162148117569.9273,130350468599716.81,131252702245.58731,2449869812286.0,716749659258.24,3456058087983.549,24495078852.39,829660024023.0905,174525797.0,0.0
10000035,Deklein,56463335483776.58,50795491074.0408,62187075606581.914,49514202273.9888,2344442682931.0,741266139375.56,6681987287030.821,74996004815.69002,392441450900.24774,41872519.0,0.0
10000036,Devoid,145404536492735.72,170577544692.01,141323268181472.12,172171029258.7212,67721517903.0,927310072841.74,292348091764.8474,895694989306.8003,182409319717.59348,16323838.0,75518405.0
10000037,Everyshore,56628890985554.65,103502357512.35489,63464670900338.82,103276183372.75989,127538501987.0,166927839215.26,921637085745.3221,2394271191100.9497,576671207403.812,49828143.0,129392966.0
